Model,Scenario,Region,Variable,Unit,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Final Energy|Electricity,EJ/yr,,,,,,,,,,,53.2478,,,,,60.8665,,,,,69.5767,,,,,79.5333,,,,,89.1794,,,,,101.5328,,,,,123.9347,,,,,162.1463,,,,,193.4197,,,,,210.5279,,,,,223.8606,,,,,232.6293,,,,,241.8541,,,,,255.3489,,,,,269.3405,,,,,279.2666,,,,,290.1173,,,,,303.9453,,,,,296.7582,,,,,305.1791
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Final Energy|Gases,EJ/yr,,,,,,,,,,,53.5558,,,,,55.4555,,,,,59.7293,,,,,64.6647,,,,,68.6422,,,,,67.8555,,,,,27.6178,,,,,16.2616,,,,,9.1997,,,,,7.5415,,,,,6.6905,,,,,7.0756,,,,,8.0004,,,,,7.5239,,,,,6.8967,,,,,7.3158,,,,,7.2614,,,,,6.3813,,,,,11.1419,,,,,10.9542
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Final Energy|Liquids,EJ/yr,,,,,,,,,,,137.8684,,,,,154.991,,,,,173.0111,,,,,189.3504,,,,,192.2627,,,,,193.7583,,,,,131.8236,,,,,112.1681,,,,,96.5883,,,,,95.3787,,,,,94.741,,,,,99.6009,,,,,104.1378,,,,,101.8483,,,,,98.6948,,,,,100.6395,,,,,100.4056,,,,,96.2103,,,,,116.7825,,,,,115.5329
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Final Energy|Solids|Coal,EJ/yr,,,,,,,,,,,28.4345,,,,,28.8923,,,,,28.8416,,,,,28.4102,,,,,25.6483,,,,,22.8603,,,,,1.3762,,,,,0.5098,,,,,0.2166,,,,,0.1727,,,,,0.1439,,,,,0.1579,,,,,0.1603,,,,,0.1297,,,,,0.102,,,,,0.0979,,,,,0.0871,,,,,0.067,,,,,0.1198,,,,,0.1066
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,34018.8847,,,,,38149.3009,,,,,41259.1284,,,,,43970.3298,,,,,43521.0594,,,,,41558.2299,,,,,27777.0853,,,,,17560.2809,,,,,5990.6792,,,,,2782.688,,,,,-838.3361,,,,,-4621.8108,,,,,-5853.6224,,,,,-6761.645,,,,,-5101.9257,,,,,-4718.4834,,,,,-5134.286,,,,,-6346.5591,,,,,-6594.7268,,,,,-7142.0107
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Final Energy|Electricity,EJ/yr,,,,,,,,,,,53.2478,,,,,60.8008,,,,,69.4106,,,,,79.1407,,,,,88.7025,,,,,100.9923,,,,,102.4735,,,,,132.1602,,,,,177.7674,,,,,194.8826,,,,,214.5056,,,,,238.9457,,,,,267.4508,,,,,274.22,,,,,279.4472,,,,,285.436,,,,,291.7361,,,,,301.6792,,,,,314.163,,,,,328.6748
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Final Energy|Gases,EJ/yr,,,,,,,,,,,53.5558,,,,,55.8859,,,,,60.6094,,,,,65.8958,,,,,69.554,,,,,68.3198,,,,,54.2058,,,,,37.5123,,,,,16.6735,,,,,14.6765,,,,,11.3821,,,,,6.9633,,,,,2.8552,,,,,3.8349,,,,,5.2388,,,,,6.5904,,,,,7.7834,,,,,7.8999,,,,,7.1043,,,,,5.6734
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Final Energy|Liquids,EJ/yr,,,,,,,,,,,137.8684,,,,,154.6262,,,,,171.2751,,,,,186.7571,,,,,191.9614,,,,,194.4781,,,,,184.862,,,,,159.2731,,,,,117.409,,,,,117.7179,,,,,111.3609,,,,,97.7995,,,,,76.4393,,,,,82.124,,,,,90.2941,,,,,97.4415,,,,,103.1846,,,,,103.648,,,,,99.5694,,,,,91.7325
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Final Energy|Solids|Coal,EJ/yr,,,,,,,,,,,28.4345,,,,,28.8524,,,,,28.5989,,,,,27.9006,,,,,25.2991,,,,,22.6617,,,,,4.9883,,,,,1.9283,,,,,0.4527,,,,,0.3828,,,,,0.2656,,,,,0.1422,,,,,0.043,,,,,0.0564,,,,,0.0751,,,,,0.0914,,,,,0.1025,,,,,0.0958,,,,,0.0778,,,,,0.0549
AIM/CGE 2.0,ADVANCE_INDC,World,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,34018.8847,,,,,38102.443,,,,,41394.195,,,,,44425.6961,,,,,43720.9025,,,,,42328.599,,,,,41116.0284,,,,,39411.1059,,,,,36950.7916,,,,,34208.6205,,,,,31526.0561,,,,,29088.8496,,,,,25346.5039,,,,,23121.5971,,,,,21092.9752,,,,,19179.8885,,,,,17427.6673,,,,,15870.3741,,,,,14454.5227,,,,,13143.612
